tstamp2,mean,max
2004-03-14,2.5134020618556696,6.9
2004-03-21,2.73105590062112,8.1
2004-03-28,1.9153374233128841,5.2
2004-04-04,2.1343749999999995,6.2
2004-04-11,2.0480769230769234,6.3
2004-04-18,2.3970588235294112,7.3
2004-04-25,2.221538461538461,5.6
2004-05-02,2.329813664596275,7.2
2004-05-09,2.1350427350427355,5.4
2004-05-16,2.2690789473684205,6.3
2004-05-23,2.047826086956523,6.5
2004-05-30,1.139583333333333,4.0
2004-06-06,1.5969072164948448,4.8
2004-06-13,2.000000000000001,6.4
2004-06-20,1.7921212121212113,5.0
2004-06-27,1.8704819277108433,5.0
2004-07-04,1.9186746987951824,5.7
2004-07-11,1.8373493975903612,5.3
2004-07-18,1.8939393939393931,5.0
2004-07-25,1.679090909090909,4.4
2004-08-01,1.3434782608695652,3.4
2004-08-08,1.3703296703296703,3.0
2004-08-15,1.1739393939393934,2.9
2004-08-22,1.1703125000000003,2.5
2004-08-29,1.3991869918699187,3.5
2004-09-05,1.9141414141414144,5.8
2004-09-12,1.9772277227722768,5.4
2004-09-19,1.9820512820512814,6.7
2004-09-26,2.2999999999999985,7.3
2004-10-03,2.6754901960784307,7.5
2004-10-10,2.450632911392405,7.0
2004-10-17,2.085714285714286,4.8
2004-10-24,2.9549999999999996,8.4
2004-10-31,2.857763975155279,9.5
2004-11-07,2.728205128205128,9.2
2004-11-14,1.8736486486486492,6.8
2004-11-21,2.5341463414634156,10.2
2004-11-28,3.5447852760736214,11.9
2004-12-05,2.8066265060240965,9.4
2004-12-12,2.079518072289157,6.3
2004-12-19,3.223030303030305,9.9
2004-12-26,3.049397590361446,9.1
2005-01-02,1.902777777777777,4.7
2005-01-09,2.42,5.9
2005-01-16,2.609146341463415,5.9
2005-01-23,2.325185185185185,8.7
2005-01-30,1.0147887323943658,3.0
2005-02-06,2.2896969696969687,6.8
2005-02-13,2.5403614457831334,8.4
2005-02-20,1.7090361445783138,5.6
2005-02-27,2.0721212121212123,6.3
2005-03-06,1.7325301204819274,6.1
2005-03-13,1.8134615384615391,6.0
2005-03-20,2.306666666666665,7.4
2005-03-27,2.3126506024096396,7.5
2005-04-03,1.4608433734939759,5.1
2005-04-10,2.0785714285714283,5.0
